,Crop_Year,Season,Crop,Area,Production
378,1999,Rabi       ,Rice,1222661,3703813
379,1999,Rabi       ,Safflower,438801,259508
380,1999,Rabi       ,Samai,58471,48503
381,1999,Rabi       ,Sannhamp,107,298
382,1999,Rabi       ,Sesamum,135092,39722
383,1999,Rabi       ,Small millets,15905,6141
384,1999,Rabi       ,Sunflower,508069,256594
385,1999,Rabi       ,Sweet potato,9780,68770
386,1999,Rabi       ,Urad,700796,371284
387,1999,Rabi       ,Wheat,26733565,75067133
388,1999,Summer     ,Bajra,181100,373300
389,1999,Summer     ,Groundnut,224333,319571
390,1999,Summer     ,Jowar,8514,19161
391,1999,Summer     ,Maize,177055,407753
392,1999,Summer     ,Moong(Green Gram),78796,42282
393,1999,Summer     ,Potato,2478,33214
394,1999,Summer     ,Ragi,15784,31533
395,1999,Summer     ,Rice,2678873,7446114
396,1999,Summer     ,Sesamum,102044,72230
397,1999,Summer     ,Sunflower,44745,27732
398,1999,Summer     ,Urad,66860,32452
399,1999,Whole Year ,Arecanut,172792,162025
400,1999,Whole Year ,Banana,237670,5786305
401,1999,Whole Year ,Black pepper,205614,64398
402,1999,Whole Year ,Cardamom,65628,9599
403,1999,Whole Year ,Cashewnut,165445,86065
404,1999,Whole Year ,Coconut ,1279389,5859816570
405,1999,Whole Year ,Coriander,307685,200350
406,1999,Whole Year ,Dry chillies,635542,794356
407,1999,Whole Year ,Dry ginger,15663,76234
408,1999,Whole Year ,Garlic,89274,388572
409,1999,Whole Year ,Guar seed,2980809,3745830
410,1999,Whole Year ,Moth,201,83
411,1999,Whole Year ,Oilseeds total,33883,31398
412,1999,Whole Year ,Onion,370109,3597628
413,1999,Whole Year ,Peas & beans (Pulses),405066,560444
414,1999,Whole Year ,Potato,832103,14295262
415,1999,Whole Year ,Pulses total,6554,6634
416,1999,Whole Year ,Sannhamp,28344,58142
417,1999,Whole Year ,Sugarcane,4093960,292148395.8
418,1999,Whole Year ,Sweet potato,31189,210993
419,1999,Whole Year ,Tapioca,217396,6010718
420,1999,Whole Year ,Tea,58,62
421,1999,Whole Year ,Tobacco,379600,552110
422,1999,Whole Year ,Turmeric,70252,231615
423,1999,Winter     ,Gram,329,263
424,1999,Winter     ,Potato,313373,7449103
425,1999,Winter     ,Rapeseed &Mustard,22,22
426,1999,Winter     ,Rice,9636168,15061278
427,1999,Winter     ,Sesamum,2510,1285
428,1999,Winter     ,Sugarcane,32434,1944050
429,1999,Winter     ,Sunflower,5,3
430,1999,Winter     ,Wheat,715,1236
431,2000,Autumn     ,Rice,4857721,6410624
432,2000,Kharif     ,Arecanut,4354,7200
433,2000,Kharif     ,Arhar/Tur,3620154,2251956
434,2000,Kharif     ,Bajra,9754832,6619084.2
435,2000,Kharif     ,Banana,15,220
436,2000,Kharif     ,Barley,34,9
437,2000,Kharif     ,Castor seed,1081672,887176.4
438,2000,Kharif     ,Coconut ,180,801
439,2000,Kharif     ,Cotton(lint),8550604,9156401
440,2000,Kharif     ,Dry chillies,183741,410643
441,2000,Kharif     ,Dry ginger,46861,241819
442,2000,Kharif     ,Gram,100,173
443,2000,Kharif     ,Groundnut,6071913,5631830.8
444,2000,Kharif     ,Horse-gram,491516,217188.3
445,2000,Kharif     ,Jowar,5042610,4848225.2
446,2000,Kharif     ,Jute,836253,9323541
447,2000,Kharif     ,Jute & mesta,2784,23635
448,2000,Kharif     ,Kapas,7340,7684
449,2000,Kharif     ,Korra,32728,24326
450,2000,Kharif     ,Maize,5960217,10210790.2
451,2000,Kharif     ,Masoor,993,276
452,2000,Kharif     ,Mesta,160018,1175786
453,2000,Kharif     ,Moong(Green Gram),2582950,843786
454,2000,Kharif     ,Moth,1005907,147795
455,2000,Kharif     ,Niger seed,447710,97040
456,2000,Kharif     ,Onion,17058,227873
457,2000,Kharif     ,Other Cereals & Millets,103480,79828
458,2000,Kharif     ,Other Kharif pulses,1496118,426234
459,2000,Kharif     ,Peas & beans (Pulses),11270,15136
460,2000,Kharif     ,Potato,6286,138309
461,2000,Kharif     ,Ragi,1669860,2563383.7
462,2000,Kharif     ,Rice,25618736,51268561.8
463,2000,Kharif     ,Samai,32020,14057
464,2000,Kharif     ,Sannhamp,29,17
465,2000,Kharif     ,Sesamum,1531342,428045.7
466,2000,Kharif     ,Small millets,1318136,491383.9
467,2000,Kharif     ,Soyabean,6380376,5253274
468,2000,Kharif     ,Sunflower,556740,373116.2
469,2000,Kharif     ,Urad,2177372,843135.6
470,2000,Kharif     ,Varagu,20,15
