,State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,P/A
162559,Punjab,JALANDHAR,1997,Kharif     ,Maize,15000,37000,2.466666667
162560,Punjab,JALANDHAR,1997,Kharif     ,Rice,126000,422000,3.349206349
162565,Punjab,JALANDHAR,1997,Rabi       ,Wheat,157000,563000,3.585987261
162567,Punjab,JALANDHAR,1997,Whole Year ,Sugarcane,14000,780000,55.71428571
162570,Punjab,JALANDHAR,1998,Kharif     ,Maize,13000,34000,2.615384615
162572,Punjab,JALANDHAR,1998,Kharif     ,Rice,134000,436000,3.253731343
162578,Punjab,JALANDHAR,1998,Rabi       ,Wheat,162000,748000,4.617283951
162579,Punjab,JALANDHAR,1998,Whole Year ,Sugarcane,13000,730000,56.15384615
162581,Punjab,JALANDHAR,1999,Kharif     ,Maize,15000,44000,2.933333333
162583,Punjab,JALANDHAR,1999,Kharif     ,Rice,133000,464000,3.488721805
162587,Punjab,JALANDHAR,1999,Rabi       ,Wheat,163000,803000,4.926380368
162588,Punjab,JALANDHAR,1999,Whole Year ,Sugarcane,14000,820000,58.57142857
162590,Punjab,JALANDHAR,2000,Kharif     ,Maize,16000,52000,3.25
162592,Punjab,JALANDHAR,2000,Kharif     ,Rice,136000,488000,3.588235294
162598,Punjab,JALANDHAR,2000,Rabi       ,Wheat,167000,773000,4.628742515
162599,Punjab,JALANDHAR,2000,Whole Year ,Sugarcane,15000,920000,61.33333333
162602,Punjab,JALANDHAR,2001,Kharif     ,Maize,16000,49000,3.0625
162604,Punjab,JALANDHAR,2001,Kharif     ,Rice,132000,445000,3.371212121
162609,Punjab,JALANDHAR,2001,Rabi       ,Wheat,167000,785000,4.700598802
162610,Punjab,JALANDHAR,2001,Whole Year ,Sugarcane,16000,1000000,62.5
162612,Punjab,JALANDHAR,2002,Kharif     ,Maize,13000,36000,2.769230769
162614,Punjab,JALANDHAR,2002,Kharif     ,Rice,133000,495000,3.721804511
162620,Punjab,JALANDHAR,2002,Rabi       ,Wheat,167000,715000,4.281437126
162621,Punjab,JALANDHAR,2002,Whole Year ,Sugarcane,17000,1040000,61.17647059
162623,Punjab,JALANDHAR,2003,Kharif     ,Maize,14000,48000,3.428571429
162625,Punjab,JALANDHAR,2003,Kharif     ,Rice,138000,465000,3.369565217
162631,Punjab,JALANDHAR,2003,Rabi       ,Wheat,169000,747000,4.420118343
162632,Punjab,JALANDHAR,2003,Whole Year ,Sugarcane,15000,690000,46
162634,Punjab,JALANDHAR,2004,Kharif     ,Maize,13000,38000,2.923076923
162636,Punjab,JALANDHAR,2004,Kharif     ,Rice,145000,538000,3.710344828
162640,Punjab,JALANDHAR,2004,Rabi       ,Wheat,171000,734000,4.292397661
162641,Punjab,JALANDHAR,2004,Whole Year ,Sugarcane,11000,610000,55.45454545
162643,Punjab,JALANDHAR,2005,Kharif     ,Maize,12000,40000,3.333333333
162645,Punjab,JALANDHAR,2005,Kharif     ,Rice,151000,526000,3.483443709
162650,Punjab,JALANDHAR,2005,Rabi       ,Wheat,170000,764000,4.494117647
162651,Punjab,JALANDHAR,2005,Whole Year ,Sugarcane,11000,676000,61.45454545
162654,Punjab,JALANDHAR,2006,Kharif     ,Maize,12000,38000,3.166666667
162656,Punjab,JALANDHAR,2006,Kharif     ,Rice,147000,514000,3.496598639
162661,Punjab,JALANDHAR,2006,Rabi       ,Wheat,165000,692000,4.193939394
162663,Punjab,JALANDHAR,2007,Kharif     ,Maize,13000,49000,3.769230769
162665,Punjab,JALANDHAR,2007,Kharif     ,Rice,149000,554000,3.718120805
162668,Punjab,JALANDHAR,2007,Rabi       ,Wheat,167000,741000,4.437125749
162670,Punjab,JALANDHAR,2008,Kharif     ,Maize,12000,41000,3.416666667
162672,Punjab,JALANDHAR,2008,Kharif     ,Rice,155000,588000,3.793548387
162677,Punjab,JALANDHAR,2008,Rabi       ,Wheat,171000,708000,4.140350877
162679,Punjab,JALANDHAR,2009,Kharif     ,Maize,10000,35000,3.5
162681,Punjab,JALANDHAR,2009,Kharif     ,Rice,161000,636000,3.950310559
162685,Punjab,JALANDHAR,2009,Rabi       ,Wheat,170000,735000,4.323529412
162686,Punjab,JALANDHAR,2009,Whole Year ,Sugarcane,700,42000,60
162688,Punjab,JALANDHAR,2010,Kharif     ,Maize,9000,35000,3.888888889
162690,Punjab,JALANDHAR,2010,Kharif     ,Rice,163000,588000,3.607361963
162694,Punjab,JALANDHAR,2010,Rabi       ,Wheat,169000,793000,4.692307692
162696,Punjab,JALANDHAR,2011,Kharif     ,Maize,8000,37000,4.625
162697,Punjab,JALANDHAR,2011,Kharif     ,Rice,165000,583000,3.533333333
162700,Punjab,JALANDHAR,2011,Rabi       ,Wheat,171000,866000,5.064327485
162701,Punjab,JALANDHAR,2011,Whole Year ,Sugarcane,9,599000,66555.55556
162703,Punjab,JALANDHAR,2012,Kharif     ,Maize,8000,27000,3.375
162705,Punjab,JALANDHAR,2012,Kharif     ,Rice,165000,625000,3.787878788
162710,Punjab,JALANDHAR,2012,Rabi       ,Wheat,169000,773000,4.573964497
162711,Punjab,JALANDHAR,2012,Whole Year ,Sugarcane,10000,651000,65.1
162713,Punjab,JALANDHAR,2013,Kharif     ,Maize,8000,26000,3.25
162714,Punjab,JALANDHAR,2013,Kharif     ,Rice,167000,596000,3.568862275
162718,Punjab,JALANDHAR,2013,Rabi       ,Wheat,169000,837000,4.952662722
162719,Punjab,JALANDHAR,2013,Whole Year ,Sugarcane,10000,764000,76.4
162721,Punjab,JALANDHAR,2014,Kharif     ,Maize,8000,29000,3.625
162722,Punjab,JALANDHAR,2014,Kharif     ,Rice,167000,616000,3.688622754
162727,Punjab,JALANDHAR,2014,Rabi       ,Wheat,167000,685000,4.101796407
162728,Punjab,JALANDHAR,2014,Whole Year ,Sugarcane,11000,825000,75
162731,Punjab,KAPURTHALA,1997,Kharif     ,Rice,97000,290000,2.989690722
162734,Punjab,KAPURTHALA,1997,Rabi       ,Wheat,102000,348000,3.411764706
162736,Punjab,KAPURTHALA,1997,Whole Year ,Sugarcane,5000,270000,54
162739,Punjab,KAPURTHALA,1998,Kharif     ,Rice,99000,314000,3.171717172
162744,Punjab,KAPURTHALA,1998,Rabi       ,Wheat,238000,990000,4.159663866
162745,Punjab,KAPURTHALA,1998,Whole Year ,Sugarcane,4000,240000,60
162748,Punjab,KAPURTHALA,1999,Kharif     ,Rice,100000,319000,3.19
162751,Punjab,KAPURTHALA,1999,Rabi       ,Wheat,111000,523000,4.711711712
162752,Punjab,KAPURTHALA,1999,Whole Year ,Sugarcane,4000,220000,55
162755,Punjab,KAPURTHALA,2000,Kharif     ,Rice,103000,358000,3.475728155
162760,Punjab,KAPURTHALA,2000,Rabi       ,Wheat,111000,493000,4.441441441
162761,Punjab,KAPURTHALA,2000,Whole Year ,Sugarcane,5000,330000,66
162764,Punjab,KAPURTHALA,2001,Kharif     ,Rice,103000,357000,3.466019417
162769,Punjab,KAPURTHALA,2001,Rabi       ,Wheat,114000,538000,4.719298246
162770,Punjab,KAPURTHALA,2001,Whole Year ,Sugarcane,6000,370000,61.66666667
162773,Punjab,KAPURTHALA,2002,Kharif     ,Rice,102000,362000,3.549019608
162778,Punjab,KAPURTHALA,2002,Rabi       ,Wheat,112000,445000,3.973214286
162779,Punjab,KAPURTHALA,2002,Whole Year ,Sugarcane,6000,350000,58.33333333
162783,Punjab,KAPURTHALA,2003,Kharif     ,Rice,104000,361000,3.471153846
162787,Punjab,KAPURTHALA,2003,Rabi       ,Wheat,112000,496000,4.428571429
162788,Punjab,KAPURTHALA,2003,Whole Year ,Sugarcane,6000,320000,53.33333333
162791,Punjab,KAPURTHALA,2004,Kharif     ,Rice,105000,423000,4.028571429
162794,Punjab,KAPURTHALA,2004,Rabi       ,Wheat,115000,460000,4
162795,Punjab,KAPURTHALA,2004,Whole Year ,Sugarcane,5000,300000,60
162798,Punjab,KAPURTHALA,2005,Kharif     ,Rice,108000,422000,3.907407407
162802,Punjab,KAPURTHALA,2005,Rabi       ,Wheat,111000,483000,4.351351351
162803,Punjab,KAPURTHALA,2005,Whole Year ,Sugarcane,4000,231000,57.75
162805,Punjab,KAPURTHALA,2006,Kharif     ,Rice,110000,414000,3.763636364
162809,Punjab,KAPURTHALA,2006,Rabi       ,Wheat,109000,444000,4.073394495
162811,Punjab,KAPURTHALA,2007,Kharif     ,Rice,110000,428000,3.890909091
162814,Punjab,KAPURTHALA,2007,Rabi       ,Wheat,111000,506000,4.558558559
162816,Punjab,KAPURTHALA,2008,Kharif     ,Rice,114000,428000,3.754385965
162819,Punjab,KAPURTHALA,2008,Rabi       ,Wheat,111000,472000,4.252252252
162821,Punjab,KAPURTHALA,2009,Kharif     ,Rice,115000,452000,3.930434783
162823,Punjab,KAPURTHALA,2009,Rabi       ,Wheat,111000,457000,4.117117117
162824,Punjab,KAPURTHALA,2009,Whole Year ,Sugarcane,300,18000,60
162826,Punjab,KAPURTHALA,2010,Kharif     ,Rice,118000,460000,3.898305085
162829,Punjab,KAPURTHALA,2010,Rabi       ,Wheat,108000,480000,4.444444444
162831,Punjab,KAPURTHALA,2011,Kharif     ,Maize,3000,18000,6
162832,Punjab,KAPURTHALA,2011,Kharif     ,Rice,118000,433000,3.669491525
162834,Punjab,KAPURTHALA,2011,Rabi       ,Wheat,110000,542000,4.927272727
162835,Punjab,KAPURTHALA,2011,Whole Year ,Sugarcane,3,221000,73666.66667
162837,Punjab,KAPURTHALA,2012,Kharif     ,Rice,117000,445000,3.803418803
162839,Punjab,KAPURTHALA,2012,Rabi       ,Wheat,110000,510000,4.636363636
162840,Punjab,KAPURTHALA,2012,Whole Year ,Sugarcane,4000,258000,64.5
162841,Punjab,KAPURTHALA,2013,Kharif     ,Maize,3000,20000,6.666666667
162842,Punjab,KAPURTHALA,2013,Kharif     ,Rice,117000,451000,3.854700855
162844,Punjab,KAPURTHALA,2013,Rabi       ,Wheat,111000,548000,4.936936937
162845,Punjab,KAPURTHALA,2013,Whole Year ,Sugarcane,4000,328000,82
162847,Punjab,KAPURTHALA,2014,Kharif     ,Rice,117000,439000,3.752136752
162850,Punjab,KAPURTHALA,2014,Rabi       ,Wheat,110000,429000,3.9
162851,Punjab,KAPURTHALA,2014,Whole Year ,Sugarcane,4000,312000,78
162855,Punjab,LUDHIANA,1997,Kharif     ,Rice,234000,899000,3.841880342
162860,Punjab,LUDHIANA,1997,Rabi       ,Wheat,257000,1082000,4.210116732
162863,Punjab,LUDHIANA,1997,Whole Year ,Sugarcane,8000,470000,58.75
162867,Punjab,LUDHIANA,1998,Kharif     ,Rice,241000,789000,3.273858921
162871,Punjab,LUDHIANA,1998,Rabi       ,Wheat,413000,1823000,4.414043584
162872,Punjab,LUDHIANA,1998,Whole Year ,Sugarcane,5000,330000,66
162877,Punjab,LUDHIANA,1999,Kharif     ,Rice,237000,856000,3.611814346
162880,Punjab,LUDHIANA,1999,Rabi       ,Wheat,259000,1312000,5.065637066
162881,Punjab,LUDHIANA,1999,Whole Year ,Sugarcane,6000,420000,70
162886,Punjab,LUDHIANA,2000,Kharif     ,Rice,238000,939000,3.945378151
162891,Punjab,LUDHIANA,2000,Rabi       ,Wheat,258000,1334000,5.170542636
162892,Punjab,LUDHIANA,2000,Whole Year ,Sugarcane,7000,470000,67.14285714
162897,Punjab,LUDHIANA,2001,Kharif     ,Rice,235000,916000,3.89787234
162902,Punjab,LUDHIANA,2001,Rabi       ,Wheat,257000,1304000,5.073929961
162903,Punjab,LUDHIANA,2001,Whole Year ,Sugarcane,8000,540000,67.5
162909,Punjab,LUDHIANA,2002,Kharif     ,Rice,236000,1020000,4.322033898
162913,Punjab,LUDHIANA,2002,Rabi       ,Wheat,254000,1142000,4.496062992
162914,Punjab,LUDHIANA,2002,Whole Year ,Sugarcane,8000,510000,63.75
162919,Punjab,LUDHIANA,2003,Kharif     ,Rice,241000,1047000,4.34439834
162924,Punjab,LUDHIANA,2003,Rabi       ,Wheat,257000,1220000,4.747081712
162925,Punjab,LUDHIANA,2003,Whole Year ,Sugarcane,5000,270000,54
162930,Punjab,LUDHIANA,2004,Kharif     ,Rice,400000,1144000,2.86
162934,Punjab,LUDHIANA,2004,Rabi       ,Wheat,258000,1246000,4.829457364
162935,Punjab,LUDHIANA,2004,Whole Year ,Sugarcane,3000,140000,46.66666667
162942,Punjab,LUDHIANA,2005,Kharif     ,Rice,250000,1130000,4.52
162946,Punjab,LUDHIANA,2005,Rabi       ,Wheat,257000,1228000,4.778210117
162947,Punjab,LUDHIANA,2005,Whole Year ,Sugarcane,2000,133000,66.5
162953,Punjab,LUDHIANA,2006,Kharif     ,Rice,248000,1084000,4.370967742
162957,Punjab,LUDHIANA,2006,Rabi       ,Wheat,257000,1158000,4.505836576
162962,Punjab,LUDHIANA,2007,Kharif     ,Rice,250000,1133000,4.532
162965,Punjab,LUDHIANA,2007,Rabi       ,Wheat,258000,1238000,4.798449612
162970,Punjab,LUDHIANA,2008,Kharif     ,Rice,254000,1135000,4.468503937
162974,Punjab,LUDHIANA,2008,Rabi       ,Wheat,259000,1137000,4.38996139
162979,Punjab,LUDHIANA,2009,Kharif     ,Rice,257000,1206000,4.692607004
162983,Punjab,LUDHIANA,2009,Rabi       ,Wheat,259000,1200000,4.633204633
162989,Punjab,LUDHIANA,2010,Kharif     ,Rice,257000,1133000,4.408560311
162993,Punjab,LUDHIANA,2010,Rabi       ,Wheat,257000,1276000,4.964980545
162998,Punjab,LUDHIANA,2011,Kharif     ,Rice,257000,1094000,4.256809339
163002,Punjab,LUDHIANA,2011,Rabi       ,Wheat,257000,1381000,5.373540856
163003,Punjab,LUDHIANA,2011,Whole Year ,Sugarcane,2,161000,80500
163009,Punjab,LUDHIANA,2012,Kharif     ,Rice,257000,1169000,4.548638132
163014,Punjab,LUDHIANA,2012,Rabi       ,Wheat,256000,1242000,4.8515625
163016,Punjab,LUDHIANA,2012,Whole Year ,Sugarcane,2000,136000,68
163022,Punjab,LUDHIANA,2013,Kharif     ,Rice,257000,1137000,4.424124514
163026,Punjab,LUDHIANA,2013,Rabi       ,Wheat,254000,1327000,5.224409449
163027,Punjab,LUDHIANA,2013,Whole Year ,Sugarcane,2000,170000,85
163029,Punjab,LUDHIANA,2014,Kharif     ,Maize,3000,21000,7
163031,Punjab,LUDHIANA,2014,Kharif     ,Rice,257000,1119000,4.354085603
163035,Punjab,LUDHIANA,2014,Rabi       ,Wheat,253000,1129000,4.462450593
163036,Punjab,LUDHIANA,2014,Whole Year ,Sugarcane,3000,258000,86
163039,Punjab,MANSA,1997,Kharif     ,Rice,58000,220000,3.793103448
163043,Punjab,MANSA,1997,Rabi       ,Wheat,157000,558000,3.554140127
163044,Punjab,MANSA,1997,Whole Year ,Cotton(lint),103000,165000,1.601941748
163046,Punjab,MANSA,1997,Whole Year ,Sugarcane,1000,60000,60
163048,Punjab,MANSA,1998,Kharif     ,Cotton(lint),83000,70000,0.843373494
163050,Punjab,MANSA,1998,Kharif     ,Rice,84000,215000,2.55952381
163054,Punjab,MANSA,1998,Rabi       ,Wheat,159000,687000,4.320754717
163055,Punjab,MANSA,1998,Whole Year ,Sugarcane,1000,60000,60
163057,Punjab,MANSA,1999,Kharif     ,Cotton(lint),72000,159000,2.208333333
163059,Punjab,MANSA,1999,Kharif     ,Rice,91000,291000,3.197802198
163064,Punjab,MANSA,1999,Rabi       ,Wheat,157000,719000,4.579617834
163065,Punjab,MANSA,1999,Whole Year ,Sugarcane,1000,60000,60
163067,Punjab,MANSA,2000,Kharif     ,Cotton(lint),79000,193000,2.443037975
163069,Punjab,MANSA,2000,Kharif     ,Rice,84000,306000,3.642857143
163073,Punjab,MANSA,2000,Rabi       ,Wheat,163000,748000,4.588957055
163074,Punjab,MANSA,2000,Whole Year ,Sugarcane,1000,60000,60
163075,Punjab,MANSA,2001,Kharif     ,Cotton(lint),92000,182000,1.97826087
163077,Punjab,MANSA,2001,Kharif     ,Rice,68000,242000,3.558823529
163082,Punjab,MANSA,2001,Rabi       ,Wheat,165000,667000,4.042424242
163083,Punjab,MANSA,2001,Whole Year ,Sugarcane,1000,70000,70
163085,Punjab,MANSA,2002,Kharif     ,Cotton(lint),70000,168000,2.4
163089,Punjab,MANSA,2002,Kharif     ,Rice,88000,267000,3.034090909
163094,Punjab,MANSA,2002,Rabi       ,Wheat,163000,691000,4.239263804
163096,Punjab,MANSA,2002,Whole Year ,Sugarcane,1000,50000,50
163098,Punjab,MANSA,2003,Kharif     ,Cotton(lint),73000,246000,3.369863014
163101,Punjab,MANSA,2003,Kharif     ,Rice,78000,299000,3.833333333
163106,Punjab,MANSA,2003,Rabi       ,Wheat,166000,691000,4.162650602
163109,Punjab,MANSA,2004,Kharif     ,Cotton(lint),82000,350000,4.268292683
163112,Punjab,MANSA,2004,Kharif     ,Rice,75000,307000,4.093333333
163117,Punjab,MANSA,2004,Rabi       ,Wheat,167000,707000,4.233532934
163120,Punjab,MANSA,2005,Kharif     ,Cotton(lint),91000,365000,4.010989011
163123,Punjab,MANSA,2005,Kharif     ,Rice,70000,291000,4.157142857
163128,Punjab,MANSA,2005,Rabi       ,Wheat,163000,612000,3.754601227
163131,Punjab,MANSA,2006,Kharif     ,Cotton(lint),93000,405000,4.35483871
163134,Punjab,MANSA,2006,Kharif     ,Rice,62000,259000,4.177419355
163139,Punjab,MANSA,2006,Rabi       ,Wheat,165000,718000,4.351515152
163142,Punjab,MANSA,2007,Kharif     ,Cotton(lint),100000,438000,4.38
163146,Punjab,MANSA,2007,Kharif     ,Rice,61000,252000,4.131147541
163151,Punjab,MANSA,2007,Rabi       ,Wheat,169000,727000,4.301775148
163152,Punjab,MANSA,2008,Kharif     ,Cotton(lint),90000,366000,4.066666667
163156,Punjab,MANSA,2008,Kharif     ,Rice,71000,296000,4.169014085
163161,Punjab,MANSA,2008,Rabi       ,Wheat,171000,791000,4.625730994
163163,Punjab,MANSA,2009,Kharif     ,Cotton(lint),89000,328000,3.685393258
163167,Punjab,MANSA,2009,Kharif     ,Rice,77000,324000,4.207792208
163172,Punjab,MANSA,2009,Rabi       ,Wheat,170000,730000,4.294117647
163174,Punjab,MANSA,2010,Kharif     ,Cotton(lint),88000,351000,3.988636364
163176,Punjab,MANSA,2010,Kharif     ,Rice,78000,316000,4.051282051
163180,Punjab,MANSA,2010,Rabi       ,Wheat,170000,830000,4.882352941
163183,Punjab,MANSA,2011,Kharif     ,Cotton(lint),93000,338000,3.634408602
163187,Punjab,MANSA,2011,Kharif     ,Rice,74000,292000,3.945945946
163191,Punjab,MANSA,2011,Rabi       ,Wheat,170000,841000,4.947058824
163193,Punjab,MANSA,2012,Kharif     ,Cotton(lint),90000,317000,3.522222222
163196,Punjab,MANSA,2012,Kharif     ,Rice,78000,321000,4.115384615
163201,Punjab,MANSA,2012,Rabi       ,Wheat,171000,759000,4.438596491
163204,Punjab,MANSA,2013,Kharif     ,Cotton(lint),86000,275000,3.197674419
163207,Punjab,MANSA,2013,Kharif     ,Rice,81000,334000,4.12345679
163210,Punjab,MANSA,2013,Rabi       ,Wheat,170000,854000,5.023529412
163211,Punjab,MANSA,2014,Kharif     ,Cotton(lint),84000,251000,2.988095238
163213,Punjab,MANSA,2014,Kharif     ,Rice,82000,296000,3.609756098
163217,Punjab,MANSA,2014,Rabi       ,Wheat,166000,742000,4.469879518
163219,Punjab,MOGA,1997,Kharif     ,Rice,107000,429000,4.009345794
163223,Punjab,MOGA,1997,Rabi       ,Wheat,124000,530000,4.274193548
163224,Punjab,MOGA,1997,Whole Year ,Cotton(lint),16000,24000,1.5
163226,Punjab,MOGA,1997,Whole Year ,Sugarcane,1000,60000,60
163230,Punjab,MOGA,1998,Kharif     ,Rice,118000,413000,3.5
163234,Punjab,MOGA,1998,Rabi       ,Wheat,124000,562000,4.532258065
163238,Punjab,MOGA,1999,Kharif     ,Rice,117000,393000,3.358974359
163242,Punjab,MOGA,1999,Rabi       ,Wheat,170000,838000,4.929411765
163245,Punjab,MOGA,2000,Kharif     ,Cotton(lint),8000,20000,2.5
163247,Punjab,MOGA,2000,Kharif     ,Rice,159000,596000,3.748427673
163251,Punjab,MOGA,2000,Rabi       ,Wheat,172000,818000,4.755813953
163252,Punjab,MOGA,2000,Whole Year ,Sugarcane,1000,60000,60
163254,Punjab,MOGA,2001,Kharif     ,Cotton(lint),14000,20000,1.428571429
163257,Punjab,MOGA,2001,Kharif     ,Rice,151000,579000,3.834437086
163262,Punjab,MOGA,2001,Rabi       ,Wheat,167000,779000,4.664670659
163263,Punjab,MOGA,2001,Whole Year ,Sugarcane,2000,150000,75
163268,Punjab,MOGA,2002,Kharif     ,Rice,149000,568000,3.812080537
163273,Punjab,MOGA,2002,Rabi       ,Wheat,170000,735000,4.323529412
163274,Punjab,MOGA,2002,Whole Year ,Sugarcane,2000,100000,50
163279,Punjab,MOGA,2003,Kharif     ,Rice,163000,667000,4.09202454
163283,Punjab,MOGA,2003,Rabi       ,Wheat,171000,743000,4.34502924
163285,Punjab,MOGA,2003,Whole Year ,Sugarcane,1000,60000,60
163287,Punjab,MOGA,2004,Kharif     ,Cotton(lint),6000,20000,3.333333333
163289,Punjab,MOGA,2004,Kharif     ,Rice,164000,731000,4.457317073
163293,Punjab,MOGA,2004,Rabi       ,Wheat,173000,759000,4.387283237
163295,Punjab,MOGA,2004,Whole Year ,Sugarcane,1000,60000,60
163297,Punjab,MOGA,2005,Kharif     ,Cotton(lint),7000,28000,4
163299,Punjab,MOGA,2005,Kharif     ,Rice,167000,735000,4.401197605
163303,Punjab,MOGA,2005,Rabi       ,Wheat,174000,767000,4.408045977
163305,Punjab,MOGA,2006,Kharif     ,Cotton(lint),7000,29000,4.142857143
163307,Punjab,MOGA,2006,Kharif     ,Rice,168000,711000,4.232142857
163311,Punjab,MOGA,2006,Rabi       ,Wheat,175000,725000,4.142857143
163313,Punjab,MOGA,2007,Kharif     ,Cotton(lint),8000,32000,4
163315,Punjab,MOGA,2007,Kharif     ,Rice,169000,749000,4.431952663
163318,Punjab,MOGA,2007,Rabi       ,Wheat,175000,818000,4.674285714
163320,Punjab,MOGA,2008,Kharif     ,Cotton(lint),6000,36000,6
163322,Punjab,MOGA,2008,Kharif     ,Rice,174000,800000,4.597701149
163327,Punjab,MOGA,2008,Rabi       ,Wheat,117000,873000,7.461538462
163332,Punjab,MOGA,2009,Kharif     ,Rice,172000,812000,4.720930233
163334,Punjab,MOGA,2009,Rabi       ,Wheat,177000,779000,4.401129944
163338,Punjab,MOGA,2010,Kharif     ,Rice,172000,745000,4.331395349
163340,Punjab,MOGA,2010,Rabi       ,Wheat,177000,887000,5.011299435
163344,Punjab,MOGA,2011,Kharif     ,Rice,174000,759000,4.362068966
163345,Punjab,MOGA,2011,Rabi       ,Wheat,176000,961000,5.460227273
163349,Punjab,MOGA,2012,Kharif     ,Rice,176000,794000,4.511363636
163352,Punjab,MOGA,2012,Rabi       ,Wheat,176000,871000,4.948863636
163356,Punjab,MOGA,2013,Kharif     ,Rice,176000,815000,4.630681818
163359,Punjab,MOGA,2013,Rabi       ,Wheat,176000,922000,5.238636364
163363,Punjab,MOGA,2014,Kharif     ,Rice,177000,815000,4.604519774
163366,Punjab,MOGA,2014,Rabi       ,Wheat,175000,794000,4.537142857
163367,Punjab,MUKTSAR,1997,Kharif     ,Rice,28000,97000,3.464285714
163369,Punjab,MUKTSAR,1997,Rabi       ,Barley,7000,21000,3
163372,Punjab,MUKTSAR,1997,Rabi       ,Wheat,176000,609000,3.460227273
163373,Punjab,MUKTSAR,1997,Whole Year ,Cotton(lint),161000,154000,0.956521739
163375,Punjab,MUKTSAR,1997,Whole Year ,Sugarcane,2000,110000,55
163376,Punjab,MUKTSAR,1998,Kharif     ,Cotton(lint),109000,100000,0.917431193
163378,Punjab,MUKTSAR,1998,Kharif     ,Rice,77000,221000,2.87012987
163384,Punjab,MUKTSAR,1998,Rabi       ,Wheat,175000,741000,4.234285714
163385,Punjab,MUKTSAR,1998,Whole Year ,Sugarcane,2000,130000,65
163386,Punjab,MUKTSAR,1999,Kharif     ,Cotton(lint),85000,170000,2
163389,Punjab,MUKTSAR,1999,Kharif     ,Rice,91000,272000,2.989010989
163394,Punjab,MUKTSAR,1999,Rabi       ,Wheat,187000,884000,4.727272727
163395,Punjab,MUKTSAR,1999,Whole Year ,Sugarcane,2000,130000,65
163397,Punjab,MUKTSAR,2000,Kharif     ,Cotton(lint),87000,233000,2.67816092
163400,Punjab,MUKTSAR,2000,Kharif     ,Rice,89000,309000,3.471910112
163405,Punjab,MUKTSAR,2000,Rabi       ,Wheat,189000,869000,4.597883598
163406,Punjab,MUKTSAR,2000,Whole Year ,Sugarcane,4000,290000,72.5
163408,Punjab,MUKTSAR,2001,Kharif     ,Cotton(lint),126000,276000,2.19047619
163410,Punjab,MUKTSAR,2001,Kharif     ,Rice,65000,239000,3.676923077
163415,Punjab,MUKTSAR,2001,Rabi       ,Wheat,193000,818000,4.238341969
163416,Punjab,MUKTSAR,2001,Whole Year ,Sugarcane,5000,380000,76
163418,Punjab,MUKTSAR,2002,Kharif     ,Cotton(lint),86000,202000,2.348837209
163423,Punjab,MUKTSAR,2002,Kharif     ,Rice,83000,261000,3.144578313
163428,Punjab,MUKTSAR,2002,Rabi       ,Wheat,192000,809000,4.213541667
163430,Punjab,MUKTSAR,2002,Whole Year ,Sugarcane,8000,500000,62.5
163432,Punjab,MUKTSAR,2003,Kharif     ,Cotton(lint),91000,267000,2.934065934
163435,Punjab,MUKTSAR,2003,Kharif     ,Rice,87000,328000,3.770114943
163440,Punjab,MUKTSAR,2003,Rabi       ,Wheat,197000,814000,4.131979695
163442,Punjab,MUKTSAR,2003,Whole Year ,Sugarcane,4000,210000,52.5
163445,Punjab,MUKTSAR,2004,Kharif     ,Cotton(lint),105000,437000,4.161904762
163448,Punjab,MUKTSAR,2004,Kharif     ,Rice,86000,334000,3.88372093
163453,Punjab,MUKTSAR,2004,Rabi       ,Wheat,200000,799000,3.995
163455,Punjab,MUKTSAR,2004,Whole Year ,Sugarcane,1000,50000,50
163456,Punjab,MUKTSAR,2005,Kharif     ,Cotton(lint),117000,542000,4.632478632
163458,Punjab,MUKTSAR,2005,Kharif     ,Rice,77000,298000,3.87012987
163464,Punjab,MUKTSAR,2005,Rabi       ,Wheat,200000,787000,3.935
163466,Punjab,MUKTSAR,2005,Whole Year ,Sugarcane,1000,51000,51
163467,Punjab,MUKTSAR,2006,Kharif     ,Cotton(lint),131000,599000,4.572519084
163469,Punjab,MUKTSAR,2006,Kharif     ,Rice,68000,272000,4
163475,Punjab,MUKTSAR,2006,Rabi       ,Wheat,202000,854000,4.227722772
163477,Punjab,MUKTSAR,2007,Kharif     ,Cotton(lint),128000,481000,3.7578125
163480,Punjab,MUKTSAR,2007,Kharif     ,Rice,68000,283000,4.161764706
163485,Punjab,MUKTSAR,2007,Rabi       ,Wheat,202000,963000,4.767326733
163486,Punjab,MUKTSAR,2008,Kharif     ,Cotton(lint),107000,476000,4.448598131
163489,Punjab,MUKTSAR,2008,Kharif     ,Rice,95000,402000,4.231578947
163494,Punjab,MUKTSAR,2008,Rabi       ,Wheat,202000,977000,4.836633663
163495,Punjab,MUKTSAR,2009,Kharif     ,Cotton(lint),96000,391000,4.072916667
163498,Punjab,MUKTSAR,2009,Kharif     ,Rice,100000,387000,3.87
163503,Punjab,MUKTSAR,2009,Rabi       ,Wheat,205000,950000,4.634146341
163504,Punjab,MUKTSAR,2010,Kharif     ,Cotton(lint),90000,330000,3.666666667
163506,Punjab,MUKTSAR,2010,Kharif     ,Rice,111000,432000,3.891891892
163511,Punjab,MUKTSAR,2010,Rabi       ,Wheat,192000,957000,4.984375
163513,Punjab,MUKTSAR,2011,Kharif     ,Cotton(lint),98000,228000,2.326530612
