,State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,P/A
1689,Andhra Pradesh,CHITTOOR,2013,Kharif     ,Tomato,8397,232496,27.6879838
1701,Andhra Pradesh,CHITTOOR,2013,Rabi       ,Groundnut,12051,32863,2.72699361
1708,Andhra Pradesh,CHITTOOR,2013,Rabi       ,Rice,34654,120249,3.469989034
1713,Andhra Pradesh,CHITTOOR,2013,Rabi       ,Tomato,5199,116546,22.41700327
1715,Andhra Pradesh,CHITTOOR,2013,Whole Year ,Banana,910,50203,55.16813187
1718,Andhra Pradesh,CHITTOOR,2013,Whole Year ,Coconut ,2760,19847000,7190.942029
1720,Andhra Pradesh,CHITTOOR,2013,Whole Year ,Potato,1297,22926,17.67617579
1724,Andhra Pradesh,CHITTOOR,2014,Kharif     ,Brinjal,924,21932,23.73593074
1732,Andhra Pradesh,CHITTOOR,2014,Kharif     ,Groundnut,122578,72811,0.593997292
1737,Andhra Pradesh,CHITTOOR,2014,Kharif     ,Mango,64633,462384,7.153992543
1746,Andhra Pradesh,CHITTOOR,2014,Kharif     ,Rice,13304,44462,3.342002405
1750,Andhra Pradesh,CHITTOOR,2014,Kharif     ,Sugarcane,26147,2066986,79.0525108
1752,Andhra Pradesh,CHITTOOR,2014,Kharif     ,Tomato,8139,192268,23.62304951
1756,Andhra Pradesh,CHITTOOR,2014,Rabi       ,Brinjal,785,18633,23.73630573
1763,Andhra Pradesh,CHITTOOR,2014,Rabi       ,Groundnut,8830,23002,2.604983012
1771,Andhra Pradesh,CHITTOOR,2014,Rabi       ,Rice,27661,87962,3.180000723
1776,Andhra Pradesh,CHITTOOR,2014,Rabi       ,Tomato,4998,126185,25.24709884
1778,Andhra Pradesh,CHITTOOR,2014,Whole Year ,Coconut ,3465,29033000,8378.932179
1779,Andhra Pradesh,CHITTOOR,2014,Whole Year ,Rice,40965,132424,3.232613206
1782,Andhra Pradesh,EAST GODAVARI,1997,Kharif     ,Cotton(lint),9800,23400,2.387755102
1789,Andhra Pradesh,EAST GODAVARI,1997,Kharif     ,Rice,214100,429300,2.005137786
1792,Andhra Pradesh,EAST GODAVARI,1997,Kharif     ,Sugarcane,15100,1197300,79.29139073
1800,Andhra Pradesh,EAST GODAVARI,1997,Rabi       ,Moong(Green Gram),59500,26500,0.445378151
1802,Andhra Pradesh,EAST GODAVARI,1997,Rabi       ,Rice,154400,491500,3.183290155
1804,Andhra Pradesh,EAST GODAVARI,1997,Rabi       ,Urad,59900,19300,0.322203673
1816,Andhra Pradesh,EAST GODAVARI,1998,Kharif     ,Rice,256300,386600,1.508388607
1826,Andhra Pradesh,EAST GODAVARI,1998,Rabi       ,Maize,3800,18700,4.921052632
1827,Andhra Pradesh,EAST GODAVARI,1998,Rabi       ,Moong(Green Gram),63700,28600,0.448979592
1830,Andhra Pradesh,EAST GODAVARI,1998,Rabi       ,Rice,157600,656600,4.166243655
1832,Andhra Pradesh,EAST GODAVARI,1998,Rabi       ,Urad,63800,19700,0.308777429
1833,Andhra Pradesh,EAST GODAVARI,1998,Whole Year ,Sugarcane,16400,1254900,76.51829268
